inputX outputFx trueFx diffFx
2.783 0.129 0.126 0.003
2.793 0.125 0.122 0.003
2.803 0.121 0.119 0.002
2.812 0.117 0.115 0.002
2.822 0.113 0.111 0.002
2.832 0.109 0.108 0.001
2.842 0.105 0.104 0.001
2.852 0.101 0.100 0.001
2.861 0.097 0.097 0.000
2.871 0.093 0.093 0.000
2.881 0.089 0.089 0.001
2.891 0.085 0.086 0.001
2.900 0.081 0.082 0.002
2.910 0.077 0.079 0.002
2.920 0.073 0.075 0.002
2.930 0.069 0.072 0.003
2.939 0.065 0.068 0.003
2.949 0.061 0.065 0.004
2.959 0.057 0.061 0.005
2.969 0.053 0.058 0.005
2.979 0.049 0.055 0.006
2.988 0.045 0.051 0.006
2.998 0.041 0.048 0.007
3.008 0.038 0.044 0.006
3.018 0.036 0.041 0.005
3.027 0.034 0.038 0.004
3.037 0.032 0.034 0.003
3.047 0.030 0.031 0.001
3.057 0.028 0.028 0.000
3.066 0.025 0.024 0.001
3.076 0.023 0.021 0.002
3.086 0.021 0.018 0.003
3.096 0.019 0.015 0.004
3.105 0.017 0.012 0.005
3.115 0.015 0.008 0.006
3.125 0.013 0.005 0.007
3.135 0.010 0.002 0.008
3.145 0.008 -0.001 0.009
3.154 0.006 -0.004 0.010
3.164 0.004 -0.007 0.011
3.174 0.002 -0.010 0.012
3.184 -0.000 -0.013 0.013
3.193 -0.003 -0.016 0.014
3.203 -0.005 -0.019 0.015
3.213 -0.007 -0.022 0.015
3.223 -0.009 -0.025 0.016
3.232 -0.011 -0.028 0.017
3.242 -0.013 -0.031 0.018
3.252 -0.015 -0.034 0.018
3.262 -0.018 -0.037 0.019
3.271 -0.020 -0.040 0.020
3.281 -0.022 -0.042 0.021
3.291 -0.024 -0.045 0.021
3.301 -0.026 -0.048 0.022
3.311 -0.028 -0.051 0.022
3.320 -0.030 -0.054 0.023
3.330 -0.033 -0.056 0.024
3.340 -0.035 -0.059 0.024
3.350 -0.037 -0.062 0.025
3.359 -0.039 -0.064 0.025
3.369 -0.041 -0.067 0.026
3.379 -0.043 -0.070 0.026
3.389 -0.046 -0.072 0.027
3.398 -0.048 -0.075 0.027
3.408 -0.050 -0.077 0.027
3.418 -0.052 -0.080 0.028
3.428 -0.054 -0.082 0.028
3.438 -0.056 -0.085 0.029
3.447 -0.058 -0.087 0.029
3.457 -0.061 -0.090 0.029
3.467 -0.063 -0.092 0.029
3.477 -0.065 -0.095 0.030
3.486 -0.067 -0.097 0.030
3.496 -0.069 -0.099 0.030
3.506 -0.071 -0.102 0.030
3.516 -0.073 -0.104 0.030
3.525 -0.076 -0.106 0.031
3.535 -0.078 -0.108 0.031
3.545 -0.080 -0.111 0.031
3.555 -0.082 -0.113 0.031
3.564 -0.084 -0.115 0.031
3.574 -0.086 -0.117 0.031
3.584 -0.088 -0.119 0.031
3.594 -0.091 -0.122 0.031
3.604 -0.093 -0.124 0.031
3.613 -0.095 -0.126 0.031
3.623 -0.097 -0.128 0.031
3.633 -0.099 -0.130 0.031
3.643 -0.101 -0.132 0.030
3.652 -0.104 -0.134 0.030
3.662 -0.106 -0.136 0.030
3.672 -0.108 -0.138 0.030
3.682 -0.110 -0.140 0.030
3.691 -0.112 -0.142 0.029
3.701 -0.114 -0.143 0.029
3.711 -0.116 -0.145 0.029
3.721 -0.119 -0.147 0.029
3.730 -0.121 -0.149 0.028
3.740 -0.123 -0.151 0.028
3.750 -0.125 -0.152 0.027
3.760 -0.127 -0.154 0.027
3.770 -0.129 -0.156 0.027
3.779 -0.131 -0.158 0.026
3.789 -0.134 -0.159 0.026
3.799 -0.136 -0.161 0.025
3.809 -0.138 -0.162 0.025
3.818 -0.140 -0.164 0.024
3.828 -0.142 -0.166 0.023
3.838 -0.144 -0.167 0.023
3.848 -0.146 -0.169 0.022
3.857 -0.149 -0.170 0.021
3.867 -0.151 -0.172 0.021
3.877 -0.153 -0.173 0.020
3.887 -0.155 -0.174 0.019
3.896 -0.157 -0.176 0.019
3.906 -0.159 -0.177 0.018
3.916 -0.162 -0.179 0.017
3.926 -0.164 -0.180 0.016
3.936 -0.166 -0.181 0.015
3.945 -0.168 -0.182 0.015
3.955 -0.170 -0.184 0.014
3.965 -0.172 -0.185 0.013
3.975 -0.174 -0.186 0.012
3.984 -0.177 -0.187 0.011
3.994 -0.179 -0.189 0.010
4.004 -0.180 -0.190 0.010
4.014 -0.180 -0.191 0.011
4.023 -0.180 -0.192 0.012
4.033 -0.180 -0.193 0.013
4.043 -0.180 -0.194 0.014
4.053 -0.181 -0.195 0.014
4.062 -0.181 -0.196 0.015
4.072 -0.181 -0.197 0.016
4.082 -0.181 -0.198 0.017
4.092 -0.181 -0.199 0.018
4.102 -0.181 -0.200 0.019
4.111 -0.181 -0.201 0.019
4.121 -0.181 -0.201 0.020
4.131 -0.181 -0.202 0.021
4.141 -0.181 -0.203 0.022
4.150 -0.182 -0.204 0.022
4.160 -0.182 -0.205 0.023
4.170 -0.182 -0.205 0.024
4.180 -0.182 -0.206 0.024
4.189 -0.182 -0.207 0.025
4.199 -0.182 -0.207 0.025
4.209 -0.182 -0.208 0.026
4.219 -0.182 -0.209 0.027
4.229 -0.182 -0.209 0.027
