in1 in2 in3 in4 in5 out
-0.150 -0.500 0.000 -1.500 0.500 -13.540
-0.150 -0.500 0.000 -1.500 0.750 -15.309
-0.150 -0.500 0.000 -1.500 1.000 -17.215
-0.150 -0.500 0.000 -1.500 1.250 -18.980
-0.150 -0.500 0.000 0.000 0.500 -7.872
-0.150 -0.500 0.000 0.000 0.750 -9.288
-0.150 -0.500 0.000 0.000 1.000 -10.819
-0.150 -0.500 0.000 0.000 1.250 -12.280
-0.150 -0.500 0.000 1.500 0.500 -2.204
-0.150 -0.500 0.000 1.500 0.750 -3.268
-0.150 -0.500 0.000 1.500 1.000 -4.422
-0.150 -0.500 0.000 1.500 1.250 -5.580
-0.150 -0.500 1.500 -3.000 0.500 -14.465
-0.150 -0.500 1.500 -3.000 0.750 -16.586
-0.150 -0.500 1.500 -3.000 1.000 -18.869
-0.150 -0.500 1.500 -3.000 1.250 -20.938
-0.150 -0.500 1.500 -1.500 0.500 -8.797
-0.150 -0.500 1.500 -1.500 0.750 -10.566
-0.150 -0.500 1.500 -1.500 1.000 -12.472
-0.150 -0.500 1.500 -1.500 1.250 -14.237
-0.150 -0.500 1.500 0.000 0.500 -3.129
-0.150 -0.500 1.500 0.000 0.750 -4.545
-0.150 -0.500 1.500 0.000 1.000 -6.076
-0.150 -0.500 1.500 0.000 1.250 -7.537
-0.150 -0.500 1.500 1.500 0.500 2.539
-0.150 -0.500 1.500 1.500 0.750 1.475
-0.150 -0.500 1.500 1.500 1.000 0.321
-0.150 -0.500 1.500 1.500 1.250 -0.837
-0.150 0.000 -3.000 -3.000 0.500 -25.690
-0.150 0.000 -3.000 -3.000 0.750 -26.867
-0.150 0.000 -3.000 -3.000 1.000 -28.126
-0.150 0.000 -3.000 -3.000 1.250 -29.187
-0.150 0.000 -3.000 -1.500 0.500 -20.022
-0.150 0.000 -3.000 -1.500 0.750 -20.846
-0.150 0.000 -3.000 -1.500 1.000 -21.729
-0.150 0.000 -3.000 -1.500 1.250 -22.486
-0.150 0.000 -3.000 0.000 0.500 -14.354
-0.150 0.000 -3.000 0.000 0.750 -14.826
-0.150 0.000 -3.000 0.000 1.000 -15.333
-0.150 0.000 -3.000 0.000 1.250 -15.786
-0.150 0.000 -3.000 1.500 0.500 -8.686
-0.150 0.000 -3.000 1.500 0.750 -8.805
-0.150 0.000 -3.000 1.500 1.000 -8.936
-0.150 0.000 -3.000 1.500 1.250 -9.086
-0.150 0.000 -1.500 -3.000 0.500 -20.947
-0.150 0.000 -1.500 -3.000 0.750 -22.124
-0.150 0.000 -1.500 -3.000 1.000 -23.383
-0.150 0.000 -1.500 -3.000 1.250 -24.444
-0.150 0.000 -1.500 -1.500 0.500 -15.279
-0.150 0.000 -1.500 -1.500 0.750 -16.103
-0.150 0.000 -1.500 -1.500 1.000 -16.986
-0.150 0.000 -1.500 -1.500 1.250 -17.743
-0.150 0.000 -1.500 0.000 0.500 -9.611
-0.150 0.000 -1.500 0.000 0.750 -10.083
-0.150 0.000 -1.500 0.000 1.000 -10.590
-0.150 0.000 -1.500 0.000 1.250 -11.043
-0.150 0.000 -1.500 1.500 0.500 -3.943
-0.150 0.000 -1.500 1.500 0.750 -4.062
-0.150 0.000 -1.500 1.500 1.000 -4.193
-0.150 0.000 -1.500 1.500 1.250 -4.343
-0.150 0.000 0.000 -3.000 0.500 -16.204
-0.150 0.000 0.000 -3.000 0.750 -17.381
-0.150 0.000 0.000 -3.000 1.000 -18.640
-0.150 0.000 0.000 -3.000 1.250 -19.701
-0.150 0.000 0.000 -1.500 0.500 -10.536
-0.150 0.000 0.000 -1.500 0.750 -11.360
-0.150 0.000 0.000 -1.500 1.000 -12.243
-0.150 0.000 0.000 -1.500 1.250 -13.000
-0.150 0.000 0.000 0.000 0.500 -4.868
-0.150 0.000 0.000 0.000 0.750 -5.340
-0.150 0.000 0.000 0.000 1.000 -5.847
-0.150 0.000 0.000 0.000 1.250 -6.300
-0.150 0.000 0.000 1.500 0.500 0.800
-0.150 0.000 0.000 1.500 0.750 0.681
-0.150 0.000 0.000 1.500 1.000 0.550
-0.150 0.000 0.000 1.500 1.250 0.400
-0.150 0.000 1.500 -3.000 0.500 -11.461
-0.150 0.000 1.500 -3.000 0.750 -12.638
-0.150 0.000 1.500 -3.000 1.000 -13.897
-0.150 0.000 1.500 -3.000 1.250 -14.958
-0.150 0.000 1.500 -1.500 0.500 -5.793
-0.150 0.000 1.500 -1.500 0.750 -6.617
-0.150 0.000 1.500 -1.500 1.000 -7.500
