in1 in2 in3 in4 out
-0.300 -0.900 -0.120 0.080 -1.174
-0.300 -0.900 -0.120 0.240 -2.032
-0.300 -0.900 -0.040 -0.400 0.088
-0.300 -0.900 -0.040 -0.240 -0.583
-0.300 -0.900 -0.040 -0.080 -1.272
-0.300 -0.900 -0.040 0.080 -2.056
-0.300 -0.900 -0.040 0.240 -2.914
-0.300 -0.900 0.040 -0.400 -0.863
-0.300 -0.900 0.040 -0.240 -1.482
-0.300 -0.900 0.040 -0.080 -2.145
-0.300 -0.900 0.040 0.080 -2.954
-0.300 -0.900 0.040 0.240 -3.826
-0.300 -0.900 0.120 -0.400 -1.815
-0.300 -0.900 0.120 -0.240 -2.403
-0.300 -0.900 0.120 -0.080 -3.040
-0.300 -0.900 0.120 0.080 -3.840
-0.300 -0.900 0.120 0.240 -4.708
-0.300 -0.300 -0.200 -0.400 3.255
-0.300 -0.300 -0.200 -0.240 2.502
-0.300 -0.300 -0.200 -0.080 1.741
-0.300 -0.300 -0.200 0.080 0.931
-0.300 -0.300 -0.200 0.240 0.078
-0.300 -0.300 -0.120 -0.400 2.326
-0.300 -0.300 -0.120 -0.240 1.586
-0.300 -0.300 -0.120 -0.080 0.844
-0.300 -0.300 -0.120 0.080 0.057
-0.300 -0.300 -0.120 0.240 -0.784
-0.300 -0.300 -0.040 -0.400 1.390
-0.300 -0.300 -0.040 -0.240 0.679
-0.300 -0.300 -0.040 -0.080 -0.042
-0.300 -0.300 -0.040 0.080 -0.827
-0.300 -0.300 -0.040 0.240 -1.668
-0.300 -0.300 0.040 -0.400 0.439
-0.300 -0.300 0.040 -0.240 -0.220
-0.300 -0.300 0.040 -0.080 -0.914
-0.300 -0.300 0.040 0.080 -1.724
-0.300 -0.300 0.040 0.240 -2.579
-0.300 -0.300 0.120 -0.400 -0.511
-0.300 -0.300 0.120 -0.240 -1.138
-0.300 -0.300 0.120 -0.080 -1.808
-0.300 -0.300 0.120 0.080 -2.609
-0.300 -0.300 0.120 0.240 -3.460
-0.300 0.300 -0.200 -0.400 4.580
-0.300 0.300 -0.200 -0.240 3.754
-0.300 0.300 -0.200 -0.080 2.943
-0.300 0.300 -0.200 0.080 2.150
-0.300 0.300 -0.200 0.240 1.339
-0.300 0.300 -0.120 -0.400 3.645
-0.300 0.300 -0.120 -0.240 2.833
-0.300 0.300 -0.120 -0.080 2.041
-0.300 0.300 -0.120 0.080 1.272
-0.300 0.300 -0.120 0.240 0.473
-0.300 0.300 -0.040 -0.400 2.705
-0.300 0.300 -0.040 -0.240 1.922
-0.300 0.300 -0.040 -0.080 1.151
-0.300 0.300 -0.040 0.080 0.384
-0.300 0.300 -0.040 0.240 -0.415
-0.300 0.300 0.040 -0.400 1.754
-0.300 0.300 0.040 -0.240 1.023
-0.300 0.300 0.040 -0.080 0.278
-0.300 0.300 0.040 0.080 -0.514
-0.300 0.300 0.040 0.240 -1.326
-0.300 0.300 0.120 -0.400 0.809
-0.300 0.300 0.120 -0.240 0.109
-0.300 0.300 0.120 -0.080 -0.611
-0.300 0.300 0.120 0.080 -1.395
-0.300 0.300 0.120 0.240 -2.203
-0.300 0.900 -0.200 -0.400 5.887
-0.300 0.900 -0.200 -0.240 5.021
-0.300 0.900 -0.200 -0.080 4.178
-0.300 0.900 -0.200 0.080 3.383
-0.300 0.900 -0.200 0.240 2.589
-0.300 0.900 -0.120 -0.400 4.950
-0.300 0.900 -0.120 -0.240 4.098
-0.300 0.900 -0.120 -0.080 3.273
-0.300 0.900 -0.120 0.080 2.503
-0.300 0.900 -0.120 0.240 1.721
-0.300 0.900 -0.040 -0.400 4.007
-0.300 0.900 -0.040 -0.240 3.185
-0.300 0.900 -0.040 -0.080 2.382
-0.300 0.900 -0.040 0.080 1.613
-0.300 0.900 -0.040 0.240 0.832
-0.300 0.900 0.040 -0.400 3.056
-0.300 0.900 0.040 -0.240 2.285
-0.300 0.900 0.040 -0.080 1.509
-0.300 0.900 0.040 0.080 0.716
-0.300 0.900 0.040 0.240 -0.080
-0.300 0.900 0.120 -0.400 2.113
-0.300 0.900 0.120 -0.240 1.374
-0.300 0.900 0.120 -0.080 0.622
-0.300 0.900 0.120 0.080 -0.163
-0.300 0.900 0.120 0.240 -0.955
0.300 -1.500 -0.200 -0.400 1.340
0.300 -1.500 -0.200 -0.240 0.565
0.300 -1.500 -0.200 -0.080 -0.213
0.300 -1.500 -0.200 0.080 -0.982
0.300 -1.500 -0.200 0.240 -1.730
0.300 -1.500 -0.120 -0.400 0.495
0.300 -1.500 -0.120 -0.240 -0.287
0.300 -1.500 -0.120 -0.080 -1.080
0.300 -1.500 -0.120 0.080 -1.881
0.300 -1.500 -0.120 0.240 -2.651
0.300 -1.500 -0.040 -0.400 -0.373
0.300 -1.500 -0.040 -0.240 -1.161
0.300 -1.500 -0.040 -0.080 -1.959
0.300 -1.500 -0.040 0.080 -2.767
0.300 -1.500 -0.040 0.240 -3.562
0.300 -1.500 0.040 -0.400 -1.278
0.300 -1.500 0.040 -0.240 -2.073
0.300 -1.500 0.040 -0.080 -2.856
0.300 -1.500 0.040 0.080 -3.640
