input1 input2 output
3.901 2.122 -0.054
3.901 2.652 -0.083
3.901 3.182 -0.039
3.901 3.713 0.027
3.901 4.243 0.076
3.901 4.773 0.121
3.901 5.304 0.164
3.901 5.834 0.208
3.901 6.365 0.251
3.901 6.895 0.290
3.901 7.425 0.327
3.901 7.956 0.363
3.901 8.486 0.401
3.901 9.016 0.440
3.901 9.547 0.481
3.901 10.077 0.522
3.901 10.608 0.562
3.901 11.138 0.602
3.901 11.668 0.642
3.901 12.199 0.683
3.901 12.729 0.728
3.901 13.259 0.776
3.901 13.790 0.830
3.901 14.320 0.887
3.901 14.851 0.947
3.901 15.381 1.013
3.901 15.911 1.096
3.901 16.442 1.257
4.629 0.000 -1.019
4.629 0.530 -0.507
4.629 1.061 -0.113
4.629 1.591 0.033
4.629 2.122 -0.108
4.629 2.652 -0.268
4.629 3.182 -0.207
4.629 3.713 -0.090
4.629 4.243 -0.023
4.629 4.773 0.029
4.629 5.304 0.078
4.629 5.834 0.126
4.629 6.365 0.175
4.629 6.895 0.220
4.629 7.425 0.262
4.629 7.956 0.303
4.629 8.486 0.344
4.629 9.016 0.387
4.629 9.547 0.431
4.629 10.077 0.475
4.629 10.608 0.517
4.629 11.138 0.558
4.629 11.668 0.601
4.629 12.199 0.646
4.629 12.729 0.694
4.629 13.259 0.747
4.629 13.790 0.803
4.629 14.320 0.862
4.629 14.851 0.925
4.629 15.381 0.995
4.629 15.911 1.095
4.629 16.442 1.322
5.356 0.000 -1.553
5.356 0.530 -0.993
5.356 1.061 -0.580
5.356 1.591 -0.456
5.356 2.122 -0.614
5.356 2.652 -0.688
5.356 3.182 -0.443
5.356 3.713 -0.205
5.356 4.243 -0.103
5.356 4.773 -0.041
5.356 5.304 0.009
5.356 5.834 0.057
5.356 6.365 0.107
5.356 6.895 0.158
5.356 7.425 0.205
5.356 7.956 0.250
5.356 8.486 0.294
5.356 9.016 0.340
5.356 9.547 0.387
5.356 10.077 0.433
5.356 10.608 0.476
5.356 11.138 0.520
5.356 11.668 0.565
5.356 12.199 0.614
5.356 12.729 0.666
5.356 13.259 0.723
5.356 13.790 0.782
5.356 14.320 0.843
5.356 14.851 0.908
5.356 15.381 0.987
5.356 15.911 1.122
5.356 16.442 1.484
6.084 0.000 -4.034
6.084 0.530 -3.510
6.084 1.061 -3.040
6.084 1.591 -2.654
6.084 2.122 -2.270
6.084 2.652 -1.676
6.084 3.182 -0.873
6.084 3.713 -0.357
6.084 4.243 -0.171
6.084 4.773 -0.088
6.084 5.304 -0.038
6.084 5.834 0.003
6.084 6.365 0.050
6.084 6.895 0.104
6.084 7.425 0.156
6.084 7.956 0.205
6.084 8.486 0.253
6.084 9.016 0.299
6.084 9.547 0.347
6.084 10.077 0.395
6.084 10.608 0.440
6.084 11.138 0.485
6.084 11.668 0.535
6.084 12.199 0.587
6.084 12.729 0.642
6.084 13.259 0.701
6.084 13.790 0.762
6.084 14.320 0.826
6.084 14.851 0.897
6.084 15.381 0.996
6.084 15.911 1.206
6.084 16.442 1.839
6.812 0.000 -10.416
6.812 0.530 -9.978
6.812 1.061 -9.274
6.812 1.591 -8.018
6.812 2.122 -6.033
6.812 2.652 -3.723
6.812 3.182 -1.698
6.812 3.713 -0.609
6.812 4.243 -0.244
6.812 4.773 -0.111
6.812 5.304 -0.056
6.812 5.834 -0.028
