in_n1 in_n2 out1
15.062 22.562 -0.016
15.062 23.500 -0.016
15.062 24.438 -0.013
15.062 25.375 -0.009
15.062 26.312 -0.003
15.062 27.250 0.002
15.062 28.188 0.005
15.062 29.125 0.004
15.062 30.062 -0.003
16.000 1.000 0.062
16.000 1.938 0.193
16.000 2.875 0.334
16.000 3.812 0.468
16.000 4.750 0.588
16.000 5.688 0.689
16.000 6.625 0.767
16.000 7.562 0.820
16.000 8.500 0.845
16.000 9.438 0.843
16.000 10.375 0.813
16.000 11.312 0.756
16.000 12.250 0.672
16.000 13.188 0.562
16.000 14.125 0.427
16.000 15.062 0.264
16.000 16.000 0.065
16.000 16.938 0.040
16.000 17.875 0.032
16.000 18.812 0.021
16.000 19.750 0.011
16.000 20.688 0.001
16.000 21.625 -0.006
16.000 22.562 -0.010
16.000 23.500 -0.012
16.000 24.438 -0.011
16.000 25.375 -0.008
16.000 26.312 -0.004
16.000 27.250 0.000
16.000 28.188 0.002
16.000 29.125 0.000
16.000 30.062 -0.009
16.938 1.000 0.075
16.938 1.938 0.203
16.938 2.875 0.341
16.938 3.812 0.475
16.938 4.750 0.597
16.938 5.688 0.703
16.938 6.625 0.788
16.938 7.562 0.849
16.938 8.500 0.886
16.938 9.438 0.897
16.938 10.375 0.882
16.938 11.312 0.841
16.938 12.250 0.775
16.938 13.188 0.686
16.938 14.125 0.572
16.938 15.062 0.434
16.938 16.000 0.264
16.938 16.938 0.230
16.938 17.875 0.210
16.938 18.812 0.188
16.938 19.750 0.166
16.938 20.688 0.146
16.938 21.625 0.127
16.938 22.562 0.111
16.938 23.500 0.097
16.938 24.438 0.086
16.938 25.375 0.077
16.938 26.312 0.070
16.938 27.250 0.064
16.938 28.188 0.057
16.938 29.125 0.048
16.938 30.062 0.034
17.875 1.000 0.085
17.875 1.938 0.208
17.875 2.875 0.345
17.875 3.812 0.478
17.875 4.750 0.602
17.875 5.688 0.711
17.875 6.625 0.801
17.875 7.562 0.870
17.875 8.500 0.915
17.875 9.438 0.937
17.875 10.375 0.934
17.875 11.312 0.907
17.875 12.250 0.857
17.875 13.188 0.785
17.875 14.125 0.690
17.875 15.062 0.573
17.875 16.000 0.427
17.875 16.938 0.386
17.875 17.875 0.356
17.875 18.812 0.325
17.875 19.750 0.294
17.875 20.688 0.264
17.875 21.625 0.236
17.875 22.562 0.210
17.875 23.500 0.186
17.875 24.438 0.165
17.875 25.375 0.146
17.875 26.312 0.130
17.875 27.250 0.115
17.875 28.188 0.101
17.875 29.125 0.086
17.875 30.062 0.069
18.812 1.000 0.089
18.812 1.938 0.208
18.812 2.875 0.343
18.812 3.812 0.475
18.812 4.750 0.600
18.812 5.688 0.711
18.812 6.625 0.805
18.812 7.562 0.880
18.812 8.500 0.933
18.812 9.438 0.964
18.812 10.375 0.971
18.812 11.312 0.957
18.812 12.250 0.921
18.812 13.188 0.863
18.812 14.125 0.785
18.812 15.062 0.686
18.812 16.000 0.563
18.812 16.938 0.516
18.812 17.875 0.477
18.812 18.812 0.438
18.812 19.750 0.400
18.812 20.688 0.362
18.812 21.625 0.326
18.812 22.562 0.292
18.812 23.500 0.260
18.812 24.438 0.230
18.812 25.375 0.203
18.812 26.312 0.179
18.812 27.250 0.157
18.812 28.188 0.136
18.812 29.125 0.117
18.812 30.062 0.096
19.750 1.000 0.088
19.750 1.938 0.203
19.750 2.875 0.334
19.750 3.812 0.465
19.750 4.750 0.589
19.750 5.688 0.702
19.750 6.625 0.799
19.750 7.562 0.878
19.750 8.500 0.937
19.750 9.438 0.976
19.750 10.375 0.993
19.750 11.312 0.989
19.750 12.250 0.965
19.750 13.188 0.921
19.750 14.125 0.858
19.750 15.062 0.776
19.750 16.000 0.673
19.750 16.938 0.621
19.750 17.875 0.576
19.750 18.812 0.530
19.750 19.750 0.486
19.750 20.688 0.441
19.750 21.625 0.399
19.750 22.562 0.358
19.750 23.500 0.319
19.750 24.438 0.282
19.750 25.375 0.248
19.750 26.312 0.217
19.750 27.250 0.189
19.750 28.188 0.164
19.750 29.125 0.140
19.750 30.062 0.118
20.688 1.000 0.081
20.688 1.938 0.192
20.688 2.875 0.319
20.688 3.812 0.447
20.688 4.750 0.570
20.688 5.688 0.683
20.688 6.625 0.781
20.688 7.562 0.864
20.688 8.500 0.928
20.688 9.438 0.972
20.688 10.375 0.997
20.688 11.312 1.003
20.688 12.250 0.989
20.688 13.188 0.958
20.688 14.125 0.908
20.688 15.062 0.842
20.688 16.000 0.757
20.688 16.938 0.702
20.688 17.875 0.651
20.688 18.812 0.601
20.688 19.750 0.551
20.688 20.688 0.502
20.688 21.625 0.454
20.688 22.562 0.408
20.688 23.500 0.363
20.688 24.438 0.321
20.688 25.375 0.282
20.688 26.312 0.246
20.688 27.250 0.213
20.688 28.188 0.183
20.688 29.125 0.157
20.688 30.062 0.133
21.625 1.000 0.067
21.625 1.938 0.173
21.625 2.875 0.296
21.625 3.812 0.421
