X A B C
-4.219 0.345 0.362 0.320
-4.199 0.346 0.363 0.321
-4.180 0.346 0.363 0.321
-4.160 0.347 0.364 0.321
-4.141 0.347 0.365 0.322
-4.121 0.348 0.365 0.322
-4.102 0.348 0.366 0.322
-4.082 0.349 0.367 0.322
-4.062 0.350 0.367 0.323
-4.043 0.350 0.368 0.323
-4.023 0.351 0.368 0.323
-4.004 0.351 0.369 0.323
-3.984 0.352 0.369 0.323
-3.965 0.352 0.370 0.324
-3.945 0.352 0.370 0.324
-3.926 0.353 0.370 0.324
-3.906 0.353 0.371 0.324
-3.887 0.354 0.371 0.324
-3.867 0.354 0.371 0.324
-3.848 0.355 0.372 0.324
-3.828 0.355 0.372 0.324
-3.809 0.355 0.372 0.324
-3.789 0.356 0.372 0.324
-3.770 0.356 0.373 0.324
-3.750 0.357 0.373 0.324
-3.730 0.357 0.373 0.324
-3.711 0.357 0.373 0.324
-3.691 0.358 0.373 0.324
-3.672 0.358 0.373 0.324
-3.652 0.358 0.373 0.324
-3.633 0.359 0.373 0.323
-3.613 0.359 0.373 0.323
-3.594 0.359 0.373 0.323
-3.574 0.360 0.373 0.323
-3.555 0.360 0.373 0.323
-3.535 0.360 0.373 0.323
-3.516 0.361 0.373 0.322
-3.496 0.361 0.373 0.322
-3.477 0.361 0.373 0.322
-3.457 0.362 0.372 0.322
-3.438 0.362 0.372 0.321
-3.418 0.362 0.372 0.321
-3.398 0.363 0.372 0.321
-3.379 0.363 0.371 0.321
-3.359 0.363 0.371 0.320
-3.340 0.364 0.371 0.320
-3.320 0.364 0.370 0.320
-3.301 0.364 0.370 0.320
-3.281 0.364 0.370 0.319
-3.262 0.365 0.369 0.319
-3.242 0.365 0.369 0.319
-3.223 0.365 0.368 0.319
-3.203 0.366 0.368 0.318
-3.184 0.366 0.368 0.318
-3.164 0.366 0.367 0.318
-3.145 0.366 0.366 0.317
-3.125 0.367 0.366 0.317
-3.105 0.367 0.365 0.317
-3.086 0.367 0.365 0.316
-3.066 0.367 0.364 0.316
-3.047 0.368 0.364 0.316
-3.027 0.368 0.363 0.315
-3.008 0.368 0.362 0.315
-2.988 0.369 0.362 0.315
-2.969 0.369 0.361 0.314
-2.949 0.369 0.360 0.314
-2.930 0.369 0.360 0.314
-2.910 0.370 0.359 0.313
-2.891 0.370 0.358 0.313
-2.871 0.370 0.357 0.313
-2.852 0.371 0.356 0.312
-2.832 0.371 0.356 0.312
-2.812 0.371 0.355 0.312
-2.793 0.371 0.354 0.311
-2.773 0.372 0.353 0.311
-2.754 0.372 0.352 0.311
-2.734 0.372 0.351 0.311
-2.715 0.372 0.350 0.310
-2.695 0.373 0.349 0.310
-2.676 0.373 0.348 0.310
-2.656 0.373 0.347 0.309
-2.637 0.373 0.346 0.309
-2.617 0.374 0.345 0.309
-2.598 0.374 0.344 0.308
-2.578 0.374 0.343 0.308
-2.559 0.375 0.342 0.308
-2.539 0.375 0.341 0.308
-2.520 0.375 0.340 0.307
-2.500 0.375 0.339 0.307
-2.480 0.376 0.338 0.307
-2.461 0.376 0.337 0.306
-2.441 0.376 0.335 0.306
-2.422 0.376 0.334 0.306
-2.402 0.377 0.333 0.306
-2.383 0.377 0.332 0.305
-2.363 0.377 0.330 0.305
-2.344 0.377 0.329 0.305
-2.324 0.378 0.328 0.305
-2.305 0.378 0.327 0.304
-2.285 0.378 0.325 0.304
-2.266 0.378 0.324 0.304
-2.246 0.379 0.323 0.304
-2.227 0.379 0.321 0.303
-2.207 0.379 0.320 0.303
-2.188 0.379 0.318 0.303
-2.168 0.380 0.317 0.303
-2.148 0.380 0.315 0.303
-2.129 0.380 0.314 0.302
-2.109 0.380 0.312 0.302
-2.090 0.381 0.311 0.302
-2.070 0.381 0.309 0.302
-2.051 0.381 0.308 0.302
-2.031 0.381 0.306 0.301
-2.012 0.382 0.304 0.301
-1.992 0.382 0.303 0.301
-1.973 0.382 0.301 0.301
-1.953 0.382 0.299 0.301
-1.934 0.383 0.298 0.301
-1.914 0.383 0.296 0.300
-1.895 0.383 0.294 0.300
-1.875 0.383 0.292 0.300
-1.855 0.383 0.291 0.300
-1.836 0.384 0.289 0.300
-1.816 0.384 0.287 0.300
-1.797 0.384 0.285 0.300
-1.777 0.384 0.283 0.299
-1.758 0.385 0.281 0.299
-1.738 0.385 0.279 0.299
-1.719 0.385 0.277 0.299
-1.699 0.385 0.275 0.299
-1.680 0.385 0.273 0.299
-1.660 0.386 0.271 0.299
-1.641 0.386 0.269 0.299
-1.621 0.386 0.267 0.299
-1.602 0.386 0.265 0.298
-1.582 0.386 0.262 0.298
-1.562 0.387 0.260 0.298
-1.543 0.387 0.258 0.298
-1.523 0.387 0.256 0.298
-1.504 0.387 0.253 0.298
-1.484 0.387 0.251 0.298
-1.465 0.388 0.249 0.298
-1.445 0.388 0.246 0.298
-1.426 0.388 0.244 0.298
-1.406 0.388 0.241 0.298
-1.387 0.388 0.239 0.298
-1.367 0.389 0.236 0.298
-1.348 0.389 0.233 0.298
-1.328 0.389 0.231 0.298
-1.309 0.389 0.228 0.298
-1.289 0.389 0.225 0.298
-1.270 0.389 0.222 0.298
-1.250 0.390 0.219 0.298
-1.230 0.390 0.216 0.298
-1.211 0.390 0.214 0.298
-1.191 0.390 0.210 0.298
-1.172 0.390 0.207 0.298
-1.152 0.390 0.204 0.298
-1.133 0.391 0.201 0.298
-1.113 0.391 0.198 0.298
-1.094 0.391 0.195 0.298
-1.074 0.391 0.191 0.298
-1.055 0.391 0.188 0.298
-1.035 0.391 0.184 0.298
-1.016 0.392 0.181 0.298
-0.996 0.392 0.177 0.298
-0.977 0.392 0.173 0.298
-0.957 0.392 0.169 0.298
-0.938 0.392 0.166 0.298
-0.918 0.392 0.162 0.298
-0.898 0.393 0.158 0.298
-0.879 0.393 0.153 0.298
-0.859 0.393 0.149 0.298
-0.840 0.393 0.145 0.298
-0.820 0.393 0.140 0.298
-0.801 0.393 0.136 0.298
-0.781 0.393 0.131 0.298
-0.762 0.394 0.126 0.298
-0.742 0.394 0.121 0.298
-0.723 0.394 0.007 0.298
-0.703 0.394 0.007 0.299
-0.684 0.394 0.007 0.299
-0.664 0.394 0.007 0.299
-0.645 0.394 0.007 0.299
-0.625 0.395 0.007 0.299
-0.605 0.395 0.007 0.299
-0.586 0.395 0.007 0.299
-0.566 0.395 0.007 0.299
-0.547 0.395 0.007 0.299
-0.527 0.395 0.008 0.299
-0.508 0.395 0.008 0.299
-0.488 0.396 0.008 0.299
-0.469 0.396 0.008 0.300
-0.449 0.396 0.008 0.300
-0.430 0.396 0.008 0.300
-0.410 0.396 0.008 0.300
-0.391 0.396 0.008 0.300
-0.371 0.396 0.008 0.300
-0.352 0.396 0.008 0.300
-0.332 0.397 0.008 0.300
-0.312 0.397 0.008 0.300
-0.293 0.397 0.009 0.300
-0.273 0.397 0.009 0.301
-0.254 0.397 0.009 0.301
-0.234 0.397 0.009 0.301
-0.215 0.397 0.009 0.301
-0.195 0.397 0.009 0.301
-0.176 0.398 0.009 0.301
-0.156 0.398 0.009 0.301
-0.137 0.398 0.009 0.301
-0.117 0.398 0.009 0.301
-0.098 0.398 0.010 0.302
-0.078 0.398 0.010 0.302
-0.059 0.398 0.010 0.302
-0.039 0.398 0.010 0.302
-0.020 0.399 0.010 0.302
0.000 0.399 0.010 0.302
0.020 0.399 0.010 0.302
0.039 0.399 0.010 0.302
0.059 0.399 0.011 0.303
0.078 0.399 0.011 0.303
0.098 0.399 0.011 0.303
0.117 0.399 0.011 0.303
0.137 0.399 0.011 0.303
0.156 0.400 0.011 0.303
0.176 0.400 0.011 0.303
0.195 0.400 0.011 0.303
0.215 0.400 0.012 0.304
0.234 0.400 0.012 0.304
0.254 0.400 0.012 0.304
0.273 0.400 0.012 0.304
0.293 0.400 0.012 0.304
0.312 0.401 0.012 0.304
0.332 0.401 0.013 0.304
0.352 0.401 0.013 0.305
0.371 0.401 0.013 0.305
0.391 0.401 0.013 0.305
0.410 0.401 0.013 0.305
0.430 0.401 0.013 0.305
0.449 0.401 0.013 0.305
0.469 0.402 0.014 0.305
0.488 0.402 0.014 0.306
0.508 0.402 0.014 0.306
0.527 0.402 0.014 0.306
0.547 0.402 0.014 0.306
0.566 0.402 0.015 0.306
0.586 0.402 0.015 0.307
0.605 0.402 0.015 0.307
0.625 0.403 0.015 0.307
0.645 0.403 0.015 0.307
0.664 0.403 0.016 0.307
0.684 0.403 0.016 0.307
0.703 0.403 0.016 0.308
0.723 0.403 0.016 0.308
0.742 0.403 0.131 0.308
0.762 0.403 0.136 0.308
0.781 0.404 0.141 0.308
0.801 0.404 0.146 0.309
0.820 0.404 0.151 0.309
0.840 0.404 0.156 0.309
0.859 0.404 0.160 0.309
0.879 0.404 0.165 0.310
0.898 0.404 0.169 0.310
0.918 0.405 0.174 0.310
0.938 0.405 0.178 0.310
0.957 0.405 0.182 0.311
0.977 0.405 0.186 0.311
0.996 0.405 0.190 0.311
1.016 0.405 0.194 0.311
1.035 0.405 0.198 0.312
1.055 0.406 0.202 0.312
1.074 0.406 0.206 0.312
1.094 0.406 0.209 0.313
1.113 0.406 0.213 0.313
1.133 0.406 0.217 0.313
1.152 0.406 0.220 0.314
1.172 0.406 0.224 0.314
1.191 0.407 0.227 0.314
1.211 0.407 0.230 0.315
1.230 0.407 0.234 0.315
1.250 0.407 0.237 0.315
1.270 0.407 0.240 0.316
1.289 0.407 0.243 0.316
1.309 0.408 0.246 0.316
1.328 0.408 0.249 0.317
1.348 0.408 0.253 0.317
1.367 0.408 0.256 0.318
1.387 0.408 0.258 0.318
1.406 0.409 0.261 0.318
1.426 0.409 0.264 0.319
1.445 0.409 0.267 0.319
1.465 0.409 0.270 0.320
1.484 0.409 0.273 0.320
1.504 0.409 0.276 0.321
1.523 0.410 0.278 0.321
1.543 0.410 0.281 0.321
1.562 0.410 0.284 0.322
1.582 0.410 0.286 0.322
1.602 0.411 0.289 0.323
1.621 0.411 0.291 0.323
1.641 0.411 0.294 0.324
1.660 0.411 0.297 0.325
1.680 0.411 0.299 0.325
1.699 0.412 0.302 0.326
1.719 0.412 0.304 0.326
1.738 0.412 0.306 0.327
1.758 0.412 0.309 0.327
1.777 0.413 0.311 0.328
1.797 0.413 0.314 0.328
1.816 0.413 0.316 0.329
1.836 0.413 0.318 0.330
1.855 0.414 0.321 0.330
1.875 0.414 0.323 0.331
1.895 0.414 0.325 0.332
1.914 0.414 0.328 0.332
1.934 0.415 0.330 0.333
1.953 0.415 0.332 0.334
1.973 0.415 0.334 0.334
1.992 0.416 0.336 0.335
2.012 0.416 0.339 0.336
2.031 0.416 0.341 0.336
2.051 0.416 0.343 0.337
2.070 0.417 0.345 0.338
2.090 0.417 0.347 0.339
2.109 0.417 0.349 0.340
2.129 0.418 0.351 0.340
2.148 0.418 0.353 0.341
2.168 0.418 0.355 0.342
2.188 0.419 0.358 0.343
2.207 0.419 0.360 0.344
2.227 0.420 0.362 0.344
2.246 0.420 0.364 0.345
2.266 0.420 0.366 0.346
2.285 0.421 0.368 0.347
2.305 0.421 0.370 0.348
2.324 0.422 0.372 0.349
2.344 0.422 0.374 0.350
2.363 0.422 0.376 0.351
2.383 0.423 0.377 0.352
2.402 0.423 0.379 0.353
2.422 0.424 0.381 0.354
2.441 0.424 0.383 0.355
2.461 0.425 0.385 0.356
2.480 0.425 0.387 0.357
2.500 0.426 0.389 0.358
2.520 0.426 0.391 0.359
2.539 0.427 0.393 0.360
2.559 0.427 0.395 0.361
2.578 0.428 0.397 0.362
2.598 0.428 0.398 0.363
2.617 0.429 0.400 0.365
2.637 0.430 0.402 0.366
2.656 0.430 0.404 0.367
2.676 0.431 0.406 0.368
2.695 0.431 0.408 0.369
2.715 0.432 0.410 0.370
2.734 0.433 0.411 0.372
2.754 0.433 0.413 0.373
2.773 0.434 0.415 0.374
2.793 0.435 0.417 0.376
2.812 0.436 0.419 0.377
